id,studentId,studentName,title,description,subject,assignedDate,dueDate,submittedDate,status,remark
HW000104,STU033,Arjun Patel,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000105,STU035,Divya Rao,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-09,2025-01-11,2025-01-09,submitted,Completed on time
HW000106,STU001,Meera Verma,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000107,STU002,Deepak Iyer,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000108,STU004,Nikhil Saxena,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000109,STU005,Abhishek Joshi,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000110,STU006,Arjun Saxena,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000111,STU007,Manish Mehta,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000112,STU009,Amit Bansal,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000113,STU010,Sakshi Mehta,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000114,STU011,Neha Mishra,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,,pending,Not submitted yet
HW000115,STU013,Sagar Rao,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-15,2025-01-17,,pending,Not submitted yet
HW000116,STU014,Anjali Tiwari,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000117,STU015,Ananya Verma,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000118,STU019,Pooja Mehta,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,,pending,Not submitted yet
HW000119,STU020,Ravi Sharma,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000120,STU021,Aishwarya Bansal,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000121,STU022,Meera Sharma,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000122,STU023,Amit Kumar,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000123,STU025,Sakshi Mishra,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000124,STU026,Harsh Arora,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,,pending,Not submitted yet
HW000125,STU028,Jyoti Saxena,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000126,STU029,Pooja Joshi,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,2025-01-16,submitted,Completed on time
HW000127,STU030,Rahul Goyal,Art Assignment,Complete the art exercises from chapter 4,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000128,STU031,Swati Bansal,Art Assignment,Complete the art exercises from chapter 2,Art,2025-01-15,2025-01-17,2025-01-15,submitted,Completed on time
HW000129,STU033,Arjun Patel,Art Assignment,Complete the art exercises from chapter 1,Art,2025-01-15,2025-01-17,,pending,Not submitted yet
HW000130,STU034,Sagar Mishra,Art Assignment,Complete the art exercises from chapter 3,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000131,STU035,Divya Rao,Art Assignment,Complete the art exercises from chapter 5,Art,2025-01-15,2025-01-17,,assigned,Assigned
HW000132,STU001,Meera Verma,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000133,STU003,Rohit Kapoor,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000134,STU004,Nikhil Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000135,STU005,Abhishek Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,,assigned,Assigned
HW000136,STU006,Arjun Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000137,STU007,Manish Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000138,STU008,Aishwarya Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000139,STU009,Amit Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000140,STU010,Sakshi Mehta,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000141,STU011,Neha Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-17,2025-01-19,,assigned,Assigned
HW000142,STU016,Abhishek Reddy,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000143,STU017,Tanvi Nair,Physical Education Assignment,Complete the physical education exercises from chapter 1,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000144,STU020,Ravi Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-17,2025-01-19,,pending,Not submitted yet
HW000145,STU021,Aishwarya Bansal,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000146,STU022,Meera Sharma,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000147,STU023,Amit Kumar,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-17,2025-01-19,2025-01-18,submitted,Completed on time
HW000148,STU024,Manish Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000149,STU025,Sakshi Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 4,Physical Education,2025-01-17,2025-01-19,,assigned,Assigned
HW000150,STU027,Aishwarya Arora,Physical Education Assignment,Complete the physical education exercises from chapter 2,Physical Education,2025-01-17,2025-01-19,,pending,Not submitted yet
HW000151,STU028,Jyoti Saxena,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,,pending,Not submitted yet
HW000152,STU029,Pooja Joshi,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,,pending,Not submitted yet
HW000153,STU033,Arjun Patel,Physical Education Assignment,Complete the physical education exercises from chapter 5,Physical Education,2025-01-17,2025-01-19,,pending,Not submitted yet
HW000154,STU034,Sagar Mishra,Physical Education Assignment,Complete the physical education exercises from chapter 3,Physical Education,2025-01-17,2025-01-19,2025-01-17,submitted,Completed on time
HW000155,STU002,Deepak Iyer,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000156,STU006,Arjun Saxena,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000157,STU007,Manish Mehta,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000158,STU008,Aishwarya Joshi,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000159,STU009,Amit Bansal,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000160,STU010,Sakshi Mehta,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000161,STU012,Sneha Mehta,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000162,STU013,Sagar Rao,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000163,STU014,Anjali Tiwari,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000164,STU015,Ananya Verma,Science Assignment,Complete the science exercises from chapter 2,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000165,STU016,Abhishek Reddy,Science Assignment,Complete the science exercises from chapter 2,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000166,STU017,Tanvi Nair,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000167,STU018,Kritika Patel,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000168,STU019,Pooja Mehta,Science Assignment,Complete the science exercises from chapter 2,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000169,STU021,Aishwarya Bansal,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000170,STU022,Meera Sharma,Science Assignment,Complete the science exercises from chapter 4,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000171,STU023,Amit Kumar,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000172,STU024,Manish Joshi,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,,pending,Not submitted yet
HW000173,STU026,Harsh Arora,Science Assignment,Complete the science exercises from chapter 2,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000174,STU028,Jyoti Saxena,Science Assignment,Complete the science exercises from chapter 4,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000175,STU029,Pooja Joshi,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,,assigned,Assigned
HW000176,STU030,Rahul Goyal,Science Assignment,Complete the science exercises from chapter 5,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000177,STU032,Aditya Rao,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000178,STU033,Arjun Patel,Science Assignment,Complete the science exercises from chapter 1,Science,2025-01-21,2025-01-23,2025-01-21,submitted,Completed on time
HW000179,STU034,Sagar Mishra,Science Assignment,Complete the science exercises from chapter 3,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000180,STU035,Divya Rao,Science Assignment,Complete the science exercises from chapter 4,Science,2025-01-21,2025-01-23,2025-01-22,submitted,Completed on time
HW000181,STU002,Deepak Iyer,Mathematics Assignment,Complete the mathematics exercises from chapter 3,Mathematics,2025-01-23,2025-01-25,,pending,Not submitted yet
HW000182,STU003,Rohit Kapoor,Mathematics Assignment,Complete the mathematics exercises from chapter 5,Mathematics,2025-01-23,2025-01-25,,assigned,Assigned
